model,role,sensitivity,specificity,precision,f2,roc_auc,brier_score,size_mb,inference_ms_per_image,threshold,status
mobilenet_v2,Lightweight transfer-learning candidate,0.9803451581975072,0.79443359375,0.8292781832927818,0.9458834412580943,0.9788166459431926,0.051744131036865364,9.210282325744629,7.539818839621282,0.20695839822292328,evaluated
efficientnet_b0,Stronger transfer-learning candidate,0.9731543624161074,0.80859375,0.838150289017341,0.9427828348504551,0.9790064810792186,0.04966083640344646,16.29059600830078,26.32670950241655,0.12310579419136047,evaluated
custom_cnn,Baseline CNN trained from scratch,0.649568552253116,0.79541015625,0.7638105975197295,0.6695987349278514,0.773347380977349,0.3344927029373674,4.537749290466309,5.016199695692097,0.924229621887207,evaluated
