epoch,accuracy,false_positives,learning_rate,loss,pr_auc,precision,roc_auc,sensitivity,true_negatives,val_accuracy,val_false_positives,val_loss,val_pr_auc,val_precision,val_roc_auc,val_sensitivity,val_true_negatives
0,0.8843502402305603,774.0,0.0010000000474974513,0.2897138297557831,0.9529023766517639,0.9135968089103699,0.9500032067298889,0.848874568939209,8876.0,0.5352044701576233,1803.0,0.9746082425117493,0.8479322195053101,0.5175274014472961,0.7822816371917725,0.9424951076507568,278.0
1,0.9442226886749268,286.0,0.0010000000474974513,0.16942934691905975,0.9805116653442383,0.9686986804008484,0.9792773127555847,0.9180582761764526,9364.0,0.9320106506347656,14.0,0.19619184732437134,0.9846348166465759,0.9922178983688354,0.9803624153137207,0.8698830604553223,2067.0
2,0.9502358436584473,249.0,0.0010000000474974513,0.15388111770153046,0.9831428527832031,0.9728728532791138,0.9825552701950073,0.9262524843215942,9401.0,0.8775707483291626,7.0,0.3273584246635437,0.9866253733634949,0.995512843132019,0.9841264486312866,0.7568225860595703,2074.0
3,0.9503395557403564,272.0,0.0010000000474974513,0.14860214293003082,0.9843822717666626,0.9705212712287903,0.9840702414512634,0.9288455843925476,9378.0,0.945560097694397,32.0,0.14898383617401123,0.9886150360107422,0.9830777645111084,0.9868971705436707,0.9059454202651978,2049.0
4,0.9536052942276001,245.0,0.0010000000474974513,0.13687585294246674,0.987328052520752,0.9734733700752258,0.9863044619560242,0.9325796365737915,9405.0,0.9581418037414551,54.0,0.13113488256931305,0.988909125328064,0.9728233814239502,0.9893805980682373,0.9420077800750732,2027.0
